,ASTRID SIOMARA MORALES VIRULA,CARLOS RAMIRO CONTRERAS VALENZUELA,CARLOS RODIMIRO LUCERO PAZ,CLAUDIA LUCRECIA PAREDES CASTAÑEDA,CLEMEN VANESSA JUÁREZ MIDENCE,CÉSAR AUGUSTO ÁVILA APARICIO,DIMAS JIMÉNEZ Y JIMÉNEZ,EDGAR ORLANDO RUANJO GODOY,ERWIN IVÁN ROMERO MORALES,ESTUARDO ADOLFO CÁRDENAS,FLOR DE MARÍA GARCÍA VILLATORO,FLOR DE MARÍA GÁLVEZ BARRIOS,GUSTAVO ADOLFO MORALES DUARTE,IGMAÍN GALICIA PIMENTEL,JENNY NOEMY ALVARADO TENI,JORGE ALBERTO GONZALEZ BARRIOS,JORGE EDUARDO TUCUX COYOY,LIDIA JUDITH URIZAR CASTELLANOS,LUIS MAURICIO CORADO CAMPOS,MANUEL DE JESÚS MEJICANOS JIMÉNEZ,MARIO RENÉ MANCILLA BARILLAS,MARTA SUSANA VIDES LAVARREDA,RENÉ GUILLERMO GIRÓN PALACIOS,TEODULO ILDEFONSO CIFUENTES MALDONADO,VILMA ROSSANA REYES GONZÁLEZ,WENDY ANGELICA RAMÍREZ LÓPEZ
Rodríguez Reyes Allan Estuardo,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Rodríguez Reyes Luis Alberto,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Rojas Alarcón Carlos Napoleon,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0
Rosales Polanco Oswaldo,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0
Salazar Cordero Faver Emilio,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Salazar Samayoa Leopoldo,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Samayoa Reyes Lucrecia Carola,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
Sanabria Arias José Carlos,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
Solano José Carlo,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0
Solórzano Quevedo Raúl Antonio,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1
Tebelán Pantzay Marcos Eduardo,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0
Tejeda Marroquín Byron Leonidas,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
